order_id,order_time,store,customer_id,courier_id,courier_type,weather,basket_size,basket_value_toman,distance_km,prep_minutes,actual_route_km,rating,tip_toman,delivery_minutes
510849,2025-09-01 11:16:00,Vakilabad,U02396,C0061,motorcycle,clear,7,992000,1.5,10.7,2.74,4.0,38000,15.0
500138,2025-09-01 11:41:00,Gohardasht,U02062,C0017,motorcycle,clear,5,1236000,1.46,6.4,1.61,4.0,0,19.1
501157,2025-09-01 12:33:00,Vakilabad,U02021,C0199,motorcycle,clear,5,474000,3.64,7.7,3.64,4.0,45000,26.3
500841,2025-09-01 12:35:00,Gohardasht,U02648,C0016,motorcycle,clear,7,1505000,2.07,8.3,2.94,4.0,0,21.6
510786,2025-09-01 12:40:00,Vakilabad,U00707,C0045,motorcycle,clear,6,956000,1.4,7.2,3.69,4.0,0,24.0
506268,2025-09-01 12:55:00,Punak,U00380,C0088,motorcycle,rain,4,1779000,4.5,6.2,4.84,3.0,0,27.1
506300,2025-09-01 13:00:00,Vakilabad,U02296,C0189,motorcycle,rain,3,326000,2.12,5.2,3.61,4.0,0,23.9
501945,2025-09-01 13:04:00,Vakilabad,U02066,C0188,bicycle,,3,465000,3.4,4.7,3.61,3.0,7000,26.2
502286,2025-09-01 13:41:00,Vakilabad,U01027,C0192,motorcycle,clear,5,433000,1.52,11.1,1.75,3.0,0,19.6
508410,2025-09-01 13:50:00,Punak,U01157,C0199,motorcycle,rain,2,241000,4.74,4.4,8.12,2.0,0,38.4
509683,2025-09-01 13:59:00,Punak,U01228,C0067,bicycle,clear,2,238000,4.18,5.0,7.48,2.0,0,40.0
507588,2025-09-01 14:00:00,Saadatabad,U01916,C0048,motorcycle,,2,568000,0.82,5.9,0.82,4.0,0,12.3
501802,2025-09-01 16:27:00,Saadatabad,U00244,C0135,motorcycle,clear,4,258000,0.36,5.7,0.41,5.0,37000,15.5
507100,2025-09-01 17:01:00,Saadatabad,U00549,C0008,bicycle,,3,151000,1.51,6.0,2.15,4.0,0,21.3
511531,2025-09-01 18:06:00,Saadatabad,U00559,C0167,bicycle,clear,4,739000,2.62,5.7,3.6,4.0,46000,19.6
508233,2025-09-01 18:16:00,Punak,U02759,C0167,bicycle,clear,2,155000,3.56,6.2,3.56,5.0,0,20.4
505786,2025-09-01 18:31:00,Vakilabad,U01339,C0130,motorcycle,clear,2,180000,1.99,4.8,1.99,5.0,0,20.7
511251,2025-09-01 18:35:00,Saadatabad,U00142,C0200,motorcycle,clear,5,443000,4.18,7.7,6.56,4.0,25000,36.9
500426,2025-09-01 18:40:00,Gohardasht,U00615,C0161,motorcycle,rain,2,213000,1.38,4.3,2.04,4.0,0,26.1
509996,2025-09-01 19:02:00,Saadatabad,U01235,C0050,motorcycle,clear,1,71000,3.02,4.6,6.01,3.0,0,32.7
509902,2025-09-01 19:09:00,Vakilabad,U02206,C0132,motorcycle,clear,4,619000,2.83,5.5,5.96,4.0,0,28.7
507193,2025-09-01 19:17:00,Punak,U00054,C0011,motorcycle,,1,69000,4.93,,8.47,2.0,0,40.5
507898,2025-09-01 19:17:00,Gohardasht,U01149,C0119,motorcycle,rain,3,484000,3.15,5.2,5.35,3.0,20000,39.9
503990,2025-09-01 19:26:00,Saadatabad,U00112,C0050,motorcycle,clear,4,753000,2.69,7.9,3.93,3.0,0,27.5
502466,2025-09-01 19:30:00,Saadatabad,U00871,C0056,bicycle,clear,3,301000,1.01,8.8,1.01,4.0,0,13.4
503696,2025-09-01 19:36:00,Vakilabad,U02423,C0098,motorcycle,clear,6,798000,0.3,7.4,0.42,5.0,0,20.5
504929,2025-09-01 19:45:00,Gohardasht,U01705,C0141,motorcycle,rain,3,712000,0.79,6.9,1.21,4.0,0,19.8
507577,2025-09-01 19:46:00,Gohardasht,U00967,C0199,motorcycle,clear,3,529000,1.57,6.2,2.21,3.0,0,21.7
501487,2025-09-01 19:47:00,Vakilabad,U01565,C0130,motorcycle,clear,3,252000,1.45,5.9,1.88,4.0,0,20.6
507406,2025-09-01 19:49:00,Vakilabad,U02817,C0171,motorcycle,,5,683000,3.1,7.2,5.65,2.0,0,36.4
509216,2025-09-01 19:54:00,Saadatabad,U01018,C0006,motorcycle,clear,1,195000,0.3,3.8,0.46,4.0,0,10.3
507235,2025-09-01 20:07:00,Punak,U00476,C0143,motorcycle,clear,3,364000,1.58,,1.73,4.0,0,24.3
508664,2025-09-01 20:14:00,Saadatabad,U01847,C0199,motorcycle,,4,525000,3.87,8.1,3.87,4.0,0,23.1
504839,2025-09-01 20:21:00,Vakilabad,U01137,C0012,motorcycle,clear,5,1018000,0.73,6.4,1.33,5.0,0,15.4
502058,2025-09-01 20:23:00,Punak,U01533,C0103,bicycle,snow,7,925000,2.21,8.3,2.21,3.0,0,28.1
506969,2025-09-01 20:24:00,Vakilabad,U00548,C0122,motorcycle,clear,2,169000,2.77,4.5,4.42,4.0,0,23.9
510532,2025-09-01 20:27:00,Vakilabad,U00816,C0016,motorcycle,clear,9,515000,4.35,11.9,5.31,3.0,0,31.6
504643,2025-09-01 20:34:00,Punak,U02176,C0165,bicycle,clear,4,469000,3.22,6.0,4.36,2.0,0,35.2
507499,2025-09-01 20:41:00,Vakilabad,U01191,C0054,motorcycle,rain,5,1193000,1.04,,1.56,4.0,0,21.8
508526,2025-09-01 20:43:00,Punak,U01698,C0157,bicycle,clear,5,499000,1.52,7.0,1.78,4.0,0,18.9
505321,2025-09-01 20:47:00,Punak,U01936,C0177,motorcycle,clear,4,765000,1.58,13.2,1.63,4.0,0,16.6
503185,2025-09-01 20:54:00,Saadatabad,U02272,C0036,motorcycle,clear,1,167000,3.1,3.0,5.82,4.0,0,31.3
502763,2025-09-01 21:06:00,Saadatabad,U00374,C0122,motorcycle,clear,3,535000,2.42,4.6,3.64,4.0,0,22.4
511446,2025-09-01 21:19:00,Saadatabad,U02828,C0013,bicycle,clear,3,379000,0.85,8.2,1.11,4.0,44000,16.0
507521,2025-09-01 21:26:00,Saadatabad,U00686,C0129,motorcycle,rain,8,1343000,2.67,9.6,2.67,3.0,41000,29.6
501688,2025-09-01 21:44:00,Saadatabad,U00357,C0153,motorcycle,clear,4,716000,0.36,6.6,0.38,5.0,20000,14.2
505456,2025-09-02 11:54:00,Gohardasht,U00064,C0042,motorcycle,clear,2,492000,2.29,4.9,2.29,4.0,0,21.4
504970,2025-09-02 12:01:00,Saadatabad,U00127,C0061,motorcycle,clear,8,522000,3.0,9.1,3.0,4.0,0,13.2
508501,2025-09-02 12:02:00,Gohardasht,U00270,C0013,bicycle,clear,5,1411000,3.7,9.0,4.99,2.0,24000,33.0
501853,2025-09-02 12:04:00,Vakilabad,U02433,C0179,bicycle,clear,2,169000,2.82,4.7,3.92,4.0,61000,25.8
502210,2025-09-02 12:24:00,Vakilabad,U00953,C0199,motorcycle,clear,2,375000,3.11,3.9,3.93,4.0,0,23.0
500662,2025-09-02 12:39:00,Vakilabad,U00568,C0171,motorcycle,clear,1,84000,1.78,3.5,3.96,2.0,0,27.1
502518,2025-09-02 12:45:00,Gohardasht,U02433,C0160,motorcycle,clear,6,841000,0.83,8.4,1.12,5.0,0,15.0
501925,2025-09-02 13:11:00,Vakilabad,U02489,C0023,bicycle,clear,2,290000,1.02,4.3,1.31,5.0,0,20.2
503523,2025-09-02 13:25:00,Vakilabad,U02503,C0051,motorcycle,clear,2,121000,3.55,4.2,3.55,4.0,0,22.2
504742,2025-09-02 13:30:00,Punak,U01013,C0016,motorcycle,clear,4,511000,3.32,6.7,6.24,3.0,0,29.0
511779,2025-09-02 13:40:00,Punak,U01454,C0106,motorcycle,rain,8,959000,1.63,9.3,1.73,4.0,0,18.0
504140,2025-09-02 14:07:00,Saadatabad,U02203,C0080,motorcycle,clear,3,478000,2.65,7.8,2.65,5.0,0,10.4
500732,2025-09-02 14:26:00,Punak,U00912,C0075,bicycle,rain,4,381000,2.83,5.5,2.83,4.0,0,24.3
507137,2025-09-02 14:33:00,Saadatabad,U00678,C0107,motorcycle,clear,2,106000,3.55,4.1,7.33,3.0,0,31.9
502236,2025-09-02 15:02:00,Vakilabad,U02166,C0013,bicycle,clear,5,906000,2.03,6.4,2.25,5.0,0,19.6
507082,2025-09-02 16:27:00,Punak,U00543,C0164,motorcycle,rain,3,400000,2.35,7.3,3.33,3.0,21000,26.6
508300,2025-09-02 17:59:00,Punak,U00192,C0061,motorcycle,clear,3,542000,1.07,4.8,1.26,4.0,0,11.3
508977,2025-09-02 18:14:00,Saadatabad,U01787,C0053,motorcycle,clear,6,590000,2.43,7.6,4.77,3.0,15000,30.8
509222,2025-09-02 18:42:00,Saadatabad,U01710,C0199,motorcycle,clear,7,1246000,3.62,11.4,3.62,4.0,43000,25.3
509746,2025-09-02 18:47:00,Vakilabad,U00567,C0176,bicycle,clear,6,863000,2.85,9.9,3.96,3.0,0,28.4
502795,2025-09-02 18:54:00,Vakilabad,U00962,C0076,bicycle,snow,4,402000,1.41,7.1,1.41,4.0,0,22.8
500870,2025-09-02 19:08:00,Punak,U02160,C0118,motorcycle,clear,2,307000,1.25,4.3,3.04,4.0,0,24.9
511338,2025-09-02 19:16:00,Vakilabad,U00542,C0111,motorcycle,clear,3,537000,2.62,4.8,5.19,3.0,0,34.5
509491,2025-09-02 19:19:00,Gohardasht,U00331,C0082,bicycle,clear,6,1228000,2.07,8.9,3.28,1.0,0,53.7
503402,2025-09-02 19:31:00,Punak,U00922,C0091,bicycle,rain,2,354000,0.3,4.4,0.54,4.0,0,18.1
506456,2025-09-02 19:42:00,Gohardasht,U02206,C0042,motorcycle,clear,4,629000,4.53,5.9,5.89,2.0,0,37.9
507961,2025-09-02 19:48:00,Saadatabad,U02000,C0103,bicycle,clear,4,470000,2.47,6.7,3.07,4.0,0,27.6
503859,2025-09-02 19:51:00,Punak,U02144,C0027,motorcycle,clear,3,612000,2.73,4.9,7.71,1.0,0,42.8
510928,2025-09-02 19:56:00,Vakilabad,U01679,C0073,motorcycle,clear,5,1168000,1.85,7.7,4.15,3.0,0,31.1
507434,2025-09-02 20:04:00,Vakilabad,U01485,C0151,motorcycle,clear,4,771000,1.79,5.7,2.89,4.0,0,23.2
510592,2025-09-02 20:19:00,Saadatabad,U01361,C0196,motorcycle,clear,4,415000,3.06,5.8,4.15,4.0,0,19.5
506372,2025-09-02 20:23:00,Punak,U00133,C0173,motorcycle,clear,6,1460000,3.0,9.4,5.65,2.0,0,34.0
510474,2025-09-02 20:24:00,Vakilabad,U00293,C0170,motorcycle,,3,262000,1.59,8.0,1.59,4.0,0,18.8
511701,2025-09-02 20:40:00,Punak,U00276,C0158,bicycle,rain,5,515000,2.25,6.9,3.67,4.0,0,30.1
500266,2025-09-02 20:49:00,Saadatabad,U00707,C0006,motorcycle,clear,4,263000,2.8,6.1,3.07,4.0,0,21.9
505491,2025-09-02 21:05:00,Gohardasht,U00410,C0130,motorcycle,clear,4,235000,2.22,6.5,2.22,3.0,20000,24.2
502669,2025-09-02 21:12:00,Gohardasht,U01965,C0051,motorcycle,clear,4,1031000,1.33,5.5,3.04,4.0,0,23.7
502310,2025-09-02 21:24:00,Gohardasht,U02333,C0196,motorcycle,clear,5,1073000,4.04,6.4,4.04,4.0,0,26.3
501255,2025-09-02 21:25:00,Saadatabad,U02099,C0132,motorcycle,clear,6,656000,3.53,7.8,3.97,4.0,68000,21.3
506596,2025-09-02 21:57:00,Saadatabad,U01958,C0199,motorcycle,clear,3,287000,2.88,4.6,3.27,4.0,0,21.3
501313,2025-09-02 22:26:00,Gohardasht,U00487,C0199,motorcycle,rain,4,346000,3.29,6.1,6.15,3.0,71000,38.9
509293,2025-09-03 10:36:00,Saadatabad,U02775,C0073,motorcycle,clear,2,239000,1.8,4.6,2.91,4.0,0,22.1
509285,2025-09-03 10:45:00,Vakilabad,U01763,C0013,bicycle,rain,3,671000,2.31,5.1,4.21,2.0,0,30.6
507630,2025-09-03 10:45:00,Vakilabad,U00761,C0159,motorcycle,rain,5,497000,0.6,7.7,1.08,4.0,27000,16.8
507225,2025-09-03 11:24:00,Punak,U01269,C0196,motorcycle,,8,613000,3.34,8.9,3.34,5.0,0,17.7
504805,2025-09-03 11:42:00,Punak,U01084,C0077,motorcycle,clear,3,432000,2.61,4.9,3.65,3.0,27000,26.6
508959,2025-09-03 11:44:00,Saadatabad,U01538,C0175,motorcycle,clear,2,139000,1.0,4.0,1.0,4.0,0,15.1
504815,2025-09-03 12:00:00,Punak,U00443,C0005,motorcycle,rain,6,529000,1.55,8.8,3.37,4.0,0,21.1
506338,2025-09-03 12:05:00,Punak,U02800,C0107,motorcycle,snow,6,173000,5.88,8.8,7.89,1.0,68000,43.1
509944,2025-09-03 12:05:00,Vakilabad,U00611,C0160,motorcycle,clear,2,151000,1.51,4.9,2.49,4.0,0,22.6
511729,2025-09-03 12:18:00,Punak,U02048,C0090,motorcycle,clear,2,311000,1.68,7.3,1.68,4.0,0,10.5
501954,2025-09-03 12:51:00,Punak,U02909,C0074,motorcycle,clear,4,218000,2.5,6.5,3.79,5.0,39000,17.8
