order_id,order_time,store,courier_type,basket_size,basket_value_toman,picking_minutes,delivery_minutes,rating
100144,2025-08-02 10:46:00,Vakilabad,bicycle,5,735000,6.5,18.6,3.0
100004,2025-08-02 12:14:00,Saadatabad,Motorcycle ,7,971000,9.2,12.5,5.0
100114,2025-08-02 13:02:00,Gohardasht,motorcycle,3,304000,5.8,14.5,5.0
100159,2025-08-02 13:15:00,Saadatabad,bicycle,1,116000,2.9,11.2,5.0
100157,2025-08-02 13:18:00,Punak,motorcycle,4,497000,6.0,16.4,
100108,2025-08-02 14:14:00,Saadatabad,motorcycle,2,177000,3.8,10.7,
100070,2025-08-02 18:47:00,Saadatabad,motorcycle,2,167000,4.2,16.6,
100132,2025-08-02 20:06:00,Vakilabad,motorcycle,5,656000,6.8,-1.0,4.0
100067,2025-08-02 20:55:00,Saadatabad,bicycle,5,1110000,7.2,14.6,
100223,2025-08-03 14:04:00,Saadatabad,bicycle,3,855000,4.9,12.4,
100161,2025-08-03 17:54:00,Saadatabad,motorcycle,4,669000,6.1,34.8,1.0
100012,2025-08-03 17:54:00,Punak,Motorcycle ,4,545000,6.7,15.7,
100141,2025-08-03 19:06:00,Punak,motorcycle,7,498000,9.5,17.1,4.0
100076,2025-08-03 19:17:00,Vakilabad,Motorcycle ,4,574000,6.0,15.7,5.0
100224,2025-08-03 19:23:00,Vakilabad,motorcycle,2,339000,6.8,14.7,2.0
100237,2025-08-03 19:25:00,Gohardasht,motorcycle,3,272000,5.4,23.1,
100194,2025-08-03 20:00:00,Vakilabad,motorcycle,3,385000,6.8,15.0,5.0
100026,2025-08-03 20:35:00,Vakilabad,motorcycle,2,171000,5.0,13.8,
100073,2025-08-03 21:12:00,Vakilabad,bicycle,6,700000,9.5,18.6,4.0
100047,2025-08-03 22:28:00,Punak,motorcycle,4,609000,9.0,20.3,3.0
100213,2025-08-04 11:29:00,Vakilabad,motorcycle,1,173000,5.7,11.4,4.0
100116,2025-08-04 12:54:00,Punak,motorcycle,6,707000,7.8,12.9,4.0
100162,2025-08-04 13:50:00,Gohardasht,motorcycle,2,245000,3.9,15.0,
100228,2025-08-04 14:35:00,Gohardasht,motorcycle,4,515000,8.1,26.2,3.0
100227,2025-08-04 14:56:00,Punak,bicycle,4,762000,7.7,16.0,3.0
100174,2025-08-04 17:58:00,Saadatabad,motorcycle,3,475000,6.2,14.2,4.0
100214,2025-08-04 18:52:00,Vakilabad,motorcycle,2,141000,4.3,16.5,4.0
100207,2025-08-04 19:12:00,Vakilabad,bicycle,4,340000,6.0,17.5,
100010,2025-08-04 19:21:00,Vakilabad,bicycle,1,357000,4.3,16.9,4.0
100236,2025-08-04 19:22:00,Vakilabad,motorcycle,3,191000,6.6,14.1,
100215,2025-08-04 20:21:00,Vakilabad,motorcycle,3,393000,4.7,17.6,5.0
100020,2025-08-04 20:46:00,Saadatabad,motorcycle,4,305000,5.8,15.1,5.0
100014,2025-08-04 21:34:00,Saadatabad,motorcycle,4,298000,5.7,16.9,3.0
100153,2025-08-04 22:35:00,Punak,Bicycle ,5,1092000,6.9,17.6,3.0
100199,2025-08-05 11:55:00,Saadatabad,motorcycle,4,469000,6.6,10.5,
100088,2025-08-05 12:43:00,Vakilabad,motorcycle,1,87000,4.3,11.0,5.0
100097,2025-08-05 14:21:00,Gohardasht,motorcycle,3,480000,7.7,15.4,
100001,2025-08-05 17:52:00,Saadatabad,motorcycle,4,589000,6.1,11.0,4.0
100006,2025-08-05 18:09:00,Saadatabad,motorcycle,4,517000,6.2,23.5,5.0
100053,2025-08-05 20:05:00,Saadatabad,Bicycle ,6,408000,7.6,18.9,
100179,2025-08-05 20:10:00,Saadatabad,motorcycle,3,1004000,5.0,10.6,5.0
100027,2025-08-05 22:36:00,Gohardasht,motorcycle,11,2425000,12.7,25.6,2.0
100181,2025-08-06 12:01:00,Punak,motorcycle,4,734000,7.0,17.5,5.0
